Club,Profile URL,Name,Date of birth,Place of birth,Age,Name in native country,Height,Nationality,Position,Foot,Market value,Contract until,Contract option,Homepage,Debut (Club),
Chelsea FC,https://www.soccerdonna.de/en/rebecca-spencer/profil/spieler_2592.html,Rebecca Spencer,22.02.1991,Harrow,34,Rebecca Leigh Spencer,"1,67",Jamaica England,Goalkeeper,right,35.000 €,30.06.2026,,www.instagram.com/beckyspencer91/,27.04.2016,
Chelsea FC,https://www.soccerdonna.de/en/livia-peng/profil/spieler_34499.html,Livia Peng,14.03.2002,Chur,23,Livia Maïté Peng,"1,74",Switzerland,Goalkeeper,right,140.000 €,30.06.2029,,www.liviapeng.ch,,
Chelsea FC,https://www.soccerdonna.de/en/hannah-hampton/profil/spieler_34581.html,24 Hannah Hampton,16.11.2000,Birmingham,24,Hannah Alice Hampton,"1,75",England,Goalkeeper,right,190.000 €,30.06.2026,,www.instagram.com/_hannahhampton/,17.12.2023,
Chelsea FC,https://www.soccerdonna.de/en/femke-liefting/profil/spieler_56447.html,28 Femke Liefting,02.01.2005,Beverwijk,20,Femke Liefting,"1,81",Netherlands,Goalkeeper,right,45.000 €,30.06.2028,,www.instagram.com/femkeliefting/,,
Chelsea FC,https://www.soccerdonna.de/en/katie-cox/profil/spieler_74060.html,40 Katie Cox,28.04.2006,,19,,,England,Goalkeeper,,10.000 €,30.06.2026,,,,23.08.2024
Chelsea FC,https://www.soccerdonna.de/en/alejandra-bernabe/profil/spieler_46714.html,Alejandra Bernabé,12.11.2001,Alcalá de Henares,23,Alejandra Bernabé de Santiago,"1,61",Spain,"Defence - Fullback, left",left,95.000 €,?,,instagram.com/alejandraabernabe,14.12.2024,
Chelsea FC,https://www.soccerdonna.de/en/jorja-fox/profil/spieler_46999.html,Jorja Fox,28.08.2003,Kingston upon Thames,21,,"1,69",England,"Defence - Fullback, right",right,15.000 €,30.06.2027,,,27.01.2021,15.08.2024
Chelsea FC,https://www.soccerdonna.de/en/brooke-aspin/profil/spieler_62521.html,Brooke Aspin,01.07.2005,Tiverton,20,,"1,71",England,Defence - Centre Back,right,30.000 €,30.06.2027,,,,
Chelsea FC,https://www.soccerdonna.de/en/ellie-carpenter/profil/spieler_30942.html,Ellie Carpenter,28.04.2000,Cowra,25,Ellie Madison Carpenter,"1,64",Australia,"Defence - Fullback, right",right,550.000 €,30.06.2029,,www.instagram.com/elliecarpenterr/,,
Chelsea FC,https://www.soccerdonna.de/en/veerle-buurman/profil/spieler_72610.html,Veerle Buurman,21.04.2006,Bemmel,19,Veerle Tooske Janna Roos Buurman,"1,73",Netherlands,Defence,,50.000 €,?,,www.instagram.com/veerle.buurman/,,
Chelsea FC,https://www.soccerdonna.de/en/millie-bright/profil/spieler_2988.html,4 Millie Bright,21.08.1993,Chesterfield,31,Millie Bright,"1,78",England,Defence - Centre Back,right,350.000 €,30.06.2026,,www.instagram.com/mbrighty04/,29.03.2015,06.03.2025
